INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,TUITION FEE,AFFILIATED
VASV,VASAVI COLLEGE OF ENGINEERING,HYDERABAD,HYD,COED,PVT,1981,CSE,COMPUTER SCIENCE  AND  ENGINEERING,1095,1454,3355,4962,2106,2106,7449,7449,1658,2148,2922,4261,11459,11630,8926,12738,130000,OU
VASV,VASAVI COLLEGE OF ENGINEERING,HYDERABAD,HYD,COED,PVT,1981,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),1400,1551,5163,5756,2355,2869,1400,1551,2670,2899,3899,3899,12304,18317,16305,35689,130000,OU
VASV,VASAVI COLLEGE OF ENGINEERING,HYDERABAD,HYD,COED,PVT,1981,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,2559,3299,9498,17497,5352,5964,14547,14547,4681,7541,7074,11160,17700,23816,15102,15422,130000,OU
VASV,VASAVI COLLEGE OF ENGINEERING,HYDERABAD,HYD,COED,PVT,1981,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,5003,5003,23000,24460,8282,9542,5003,5003,9383,10388,5003,5003,24917,25255,11767,18253,130000,OU
VASV,VASAVI COLLEGE OF ENGINEERING,HYDERABAD,HYD,COED,PVT,1981,INF,INFORMATION TECHNOLOGY,2755,2755,10404,14270,3977,5155,11310,11310,4011,5793,4528,11607,21052,22899,19379,22518,130000,OU
VASV,VASAVI COLLEGE OF ENGINEERING,HYDERABAD,HYD,COED,PVT,1981,MEC,MECHANICAL ENGINEERING,7946,14536,35619,73213,23285,30215,25265,25265,19406,34197,28597,28597,41979,55300,22162,37519,130000,OU
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,AUT,AUTOMOBILE ENGINEERING,21369,28492,53040,53040,45867,45867,82150,82150,27260,67970,70745,70745,71673,80730,41278,60078,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,CIV,CIVIL ENGINEERING,11414,11414,33637,35950,24939,27354,11414,35452,17479,30433,38449,38449,32642,46936,23305,27078,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,CSB,COMPUTER SCIENCE AND BUSINESS SYSTEM,3067,3151,10038,10038,4262,4412,3067,3151,5555,5650,3067,38772,30345,35056,3067,61219,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),2143,2591,7851,7851,3425,4329,10969,10969,4270,4595,5022,5022,18218,31826,20970,34240,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),1768,2241,6959,6959,3076,3076,1768,2241,3730,4355,4752,7310,16361,26235,24449,24449,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,CSE,COMPUTER SCIENCE  AND  ENGINEERING,1527,1767,4723,5782,2732,3128,7171,7171,2501,3203,4930,5290,14352,15151,9529,14805,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),1559,1592,5898,7606,2751,3884,1559,1592,3270,3270,4293,7638,15216,19388,17100,17100,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),2326,2676,9024,11580,3465,4247,2326,18083,4573,6635,8343,8343,20069,33287,25502,25502,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,3413,3700,12530,16028,6088,6088,3413,3700,5593,7272,11735,16167,19725,21534,17322,22586,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,5077,7014,35801,35801,12116,16379,58709,58709,9499,15820,21693,21693,27757,33115,18866,22274,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,EIE,ELECTRONICS AND INSTRUMENTATION ENGINEERING,14515,14593,57396,74395,25315,26492,14515,42177,26025,26025,78155,78155,76522,76522,55165,77331,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,INF,INFORMATION TECHNOLOGY,3354,3419,11669,13125,4773,5619,12574,12574,4838,5945,11786,14511,25338,25338,19592,27875,131000,JNTUH
VJEC,V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,BACHUPALLY,MDL,COED,PVT,1995,MEC,MECHANICAL ENGINEERING,8982,11613,37658,47401,22124,40863,8982,51252,20489,38983,34709,41532,48862,79410,23710,57531,131000,JNTUH
VMEG,VARDHAMAN COLLEGE OF ENGINEERING,SHAMSHABAD,RR,COED,PVT,1999,CIV,CIVIL ENGINEERING,16678,19216,68235,68235,33996,41752,73939,73939,37992,37992,52792,52792,55016,74045,28324,43510,125000,JNTUH
VMEG,VARDHAMAN COLLEGE OF ENGINEERING,SHAMSHABAD,RR,COED,PVT,1999,CSE,COMPUTER SCIENCE  AND  ENGINEERING,4547,5738,19801,23412,8211,10560,19766,19766,8395,9667,14153,19157,27830,31701,15378,19763,125000,JNTUH
VMEG,VARDHAMAN COLLEGE OF ENGINEERING,SHAMSHABAD,RR,COED,PVT,1999,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),4630,5990,18992,34201,8343,8617,4630,5990,8118,9957,11683,11683,48614,70288,20321,80850,125000,JNTUH
VMEG,VARDHAMAN COLLEGE OF ENGINEERING,SHAMSHABAD,RR,COED,PVT,1999,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,8996,8996,31635,46891,14337,15268,15641,81178,15622,16281,37549,46355,48289,49337,29862,50128,125000,JNTUH
VMEG,VARDHAMAN COLLEGE OF ENGINEERING,SHAMSHABAD,RR,COED,PVT,1999,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,11903,12063,39032,47032,28398,28398,11903,12063,19039,28183,37874,37874,54399,58442,30912,41647,125000,JNTUH
VMEG,VARDHAMAN COLLEGE OF ENGINEERING,SHAMSHABAD,RR,COED,PVT,1999,INF,INFORMATION TECHNOLOGY,7397,7553,28997,30813,12156,13884,78977,78977,13342,13941,23724,41433,52138,52138,31242,53778,125000,JNTUH
VMEG,VARDHAMAN COLLEGE OF ENGINEERING,SHAMSHABAD,RR,COED,PVT,1999,MEC,MECHANICAL ENGINEERING,19897,19897,78774,78774,43342,43342,19897,19897,40624,40624,51604,51604,56770,69226,31018,74611,125000,JNTUH
